actor_id,actor_name,kldb_5_code,skill_id,skill_label,skill_label_de,group,priority,src_baseline,src_ext_1_1,src_ext_2_1,relation_type
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,guarantee customer satisfaction,Kundenzufriedenheit gewährleisten,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,solar energy,Sonnenenergie,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/0c0488b3-fca5-4deb-865b-8dc605c3d909,sales argumentation,Verkaufsargumentation,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,communicate with customers,mit Kunden kommunizieren,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/0dd4d328-f015-463d-9a7e-06b7041f0b26,consumer goods industry,Konsumgüterindustrie,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/1585fc98-bfe4-461f-97fc-734055a2c3ce,characteristics of products,Merkmale von Erzeugnissen,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/1cf20c3c-027e-45f4-bad1-c91b98726d28,provide information on geothermal heat pumps,Information über Erdwärmepumpen zur Verfügung stellen,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9,ensure compliance with legal requirements,Einhaltung der rechtlichen Bestimmungen sicherstellen,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/2206af0c-3deb-48c5-a544-b9983d347da3,answer requests for quotation,Angebotsanforderungen beantworten,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/2dd6ecdf-8a08-438b-8b4b-e0374f7b523b,carry out sales analysis,Verkaufsanalyse durchführen,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c,maintain relationship with suppliers,Beziehungen zu Lieferanten pflegen,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/4334037f-c1d8-4241-b82e-8db7e469327b,electricity market,Strommarkt,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/50181a4b-1cfd-4fbd-ac9a-c1a494b9c5d0,implement customer follow-up,Nachfassaktionen bei Kunden und Kundinnen umsetzen,baseline,2.0,True,False,False,essential
IST_MAX,Max Maier,61123,ESCO:http://data.europa.eu/esco/skill/64f2c90c-4144-418e-82c6-3150e03d29a3,assess customers,Kundenbewertung durchführen,baseline,2.0,True,False,False,essential
