ist_actor,soll_profile,score_baseline,score_all,delta_ext,matched_baseline,matched_all,soll_skill_count
Luise Schneider,Mitarbeiter A,0.4,0.6,0.19999999999999996,4,6,10
Luise Schneider,Mitarbeiter C,0.25,0.375,0.125,2,3,8
Luise Schneider,Mitarbeiter E,0.25,0.25,0.0,3,3,12
Luise Schneider,Mitarbeiter D,0.11764705882352941,0.17647058823529413,0.05882352941176472,2,3,17
Luise Schneider,Mitarbeiter B,0.07142857142857142,0.07142857142857142,0.0,1,1,14
Manuel Müller,Mitarbeiter C,0.125,0.625,0.5,1,5,8
Manuel Müller,Mitarbeiter D,0.23529411764705882,0.5294117647058824,0.29411764705882354,4,9,17
Manuel Müller,Mitarbeiter A,0.4,0.5,0.09999999999999998,4,5,10
Manuel Müller,Mitarbeiter B,0.42857142857142855,0.5,0.07142857142857145,6,7,14
Manuel Müller,Mitarbeiter E,0.25,0.4166666666666667,0.16666666666666669,3,5,12
Max Maier,Mitarbeiter A,0.5,0.6,0.09999999999999998,5,6,10
Max Maier,Mitarbeiter D,0.29411764705882354,0.47058823529411764,0.1764705882352941,5,8,17
Max Maier,Mitarbeiter C,0.125,0.25,0.125,1,2,8
Max Maier,Mitarbeiter E,0.16666666666666666,0.16666666666666666,0.0,2,2,12
Max Maier,Mitarbeiter B,0.07142857142857142,0.14285714285714285,0.07142857142857142,1,2,14
Tim Lange,Mitarbeiter B,0.7142857142857143,0.7857142857142857,0.0714285714285714,10,11,14
Tim Lange,Mitarbeiter A,0.3,0.5,0.2,3,5,10
Tim Lange,Mitarbeiter D,0.11764705882352941,0.4117647058823529,0.2941176470588235,2,7,17
Tim Lange,Mitarbeiter C,0.25,0.375,0.125,2,3,8
Tim Lange,Mitarbeiter E,0.3333333333333333,0.3333333333333333,0.0,4,4,12
